code,region,city,district,fullname,region_code,city_code,district_code
1130553500,서울특별시,강북구,미아동,서울특별시 강북구 미아동,11,11305,1130553500
1130554000,서울특별시,강북구,미아제4동,서울특별시 강북구 미아제4동,11,11305,1130554000
1130554500,서울특별시,강북구,송중동,서울특별시 강북구 송중동,11,11305,1130554500
1130555000,서울특별시,강북구,미아제5동,서울특별시 강북구 미아제5동,11,11305,1130555000
1130555500,서울특별시,강북구,송천동,서울특별시 강북구 송천동,11,11305,1130555500
1130556000,서울특별시,강북구,미아제6동,서울특별시 강북구 미아제6동,11,11305,1130556000
1130556500,서울특별시,강북구,미아제6.7동,서울특별시 강북구 미아제6.7동,11,11305,1130556500
1130557000,서울특별시,강북구,미아제7동,서울특별시 강북구 미아제7동,11,11305,1130557000
1130557500,서울특별시,강북구,삼각산동,서울특별시 강북구 삼각산동,11,11305,1130557500
1130558000,서울특별시,강북구,미아제8동,서울특별시 강북구 미아제8동,11,11305,1130558000
1130558100,서울특별시,강북구,미아제9동,서울특별시 강북구 미아제9동,11,11305,1130558100
1130559000,서울특별시,강북구,번제1동,서울특별시 강북구 번제1동,11,11305,1130559000
1130560000,서울특별시,강북구,번제2동,서울특별시 강북구 번제2동,11,11305,1130560000
1130560600,서울특별시,강북구,번제3동,서울특별시 강북구 번제3동,11,11305,1130560600
1130561000,서울특별시,강북구,수유제1동,서울특별시 강북구 수유제1동,11,11305,1130561000
1130562000,서울특별시,강북구,수유제2동,서울특별시 강북구 수유제2동,11,11305,1130562000
1130563000,서울특별시,강북구,수유제3동,서울특별시 강북구 수유제3동,11,11305,1130563000
1130564000,서울특별시,강북구,수유제4동,서울특별시 강북구 수유제4동,11,11305,1130564000
1130564500,서울특별시,강북구,우이동,서울특별시 강북구 우이동,11,11305,1130564500
1130565000,서울특별시,강북구,수유제5동,서울특별시 강북구 수유제5동,11,11305,1130565000
1130565100,서울특별시,강북구,수유제6동,서울특별시 강북구 수유제6동,11,11305,1130565100
1130566000,서울특별시,강북구,인수동,서울특별시 강북구 인수동,11,11305,1130566000
1132000000,서울특별시,도봉구,NA,서울특별시 도봉구,11,11320,1132000000
1132051100,서울특별시,도봉구,창제1동,서울특별시 도봉구 창제1동,11,11320,1132051100
1132051200,서울특별시,도봉구,창제2동,서울특별시 도봉구 창제2동,11,11320,1132051200
1132051300,서울특별시,도봉구,창제3동,서울특별시 도봉구 창제3동,11,11320,1132051300
1132051400,서울특별시,도봉구,창제4동,서울특별시 도봉구 창제4동,11,11320,1132051400
1132051500,서울특별시,도봉구,창제5동,서울특별시 도봉구 창제5동,11,11320,1132051500
1132052100,서울특별시,도봉구,도봉제1동,서울특별시 도봉구 도봉제1동,11,11320,1132052100
1132052200,서울특별시,도봉구,도봉제2동,서울특별시 도봉구 도봉제2동,11,11320,1132052200
1132053100,서울특별시,도봉구,미아제1동,서울특별시 도봉구 미아제1동,11,11320,1132053100
1132053200,서울특별시,도봉구,미아제2동,서울특별시 도봉구 미아제2동,11,11320,1132053200
1132053300,서울특별시,도봉구,미아제3동,서울특별시 도봉구 미아제3동,11,11320,1132053300
1132054000,서울특별시,도봉구,미아제4동,서울특별시 도봉구 미아제4동,11,11320,1132054000
1132055000,서울특별시,도봉구,미아제5동,서울특별시 도봉구 미아제5동,11,11320,1132055000
1132056000,서울특별시,도봉구,미아제6동,서울특별시 도봉구 미아제6동,11,11320,1132056000
1132057000,서울특별시,도봉구,미아제7동,서울특별시 도봉구 미아제7동,11,11320,1132057000
1132058000,서울특별시,도봉구,미아제8동,서울특별시 도봉구 미아제8동,11,11320,1132058000
1132058100,서울특별시,도봉구,미아제9동,서울특별시 도봉구 미아제9동,11,11320,1132058100
1132059000,서울특별시,도봉구,번제1동,서울특별시 도봉구 번제1동,11,11320,1132059000
1132060000,서울특별시,도봉구,번제2동,서울특별시 도봉구 번제2동,11,11320,1132060000
1132060500,서울특별시,도봉구,번제2동분소,서울특별시 도봉구 번제2동분소,11,11320,1132060500
1132060600,서울특별시,도봉구,번제3동,서울특별시 도봉구 번제3동,11,11320,1132060600
1132061000,서울특별시,도봉구,수유제1동,서울특별시 도봉구 수유제1동,11,11320,1132061000
1132062000,서울특별시,도봉구,수유제2동,서울특별시 도봉구 수유제2동,11,11320,1132062000
1132063000,서울특별시,도봉구,수유제3동,서울특별시 도봉구 수유제3동,11,11320,1132063000
1132064000,서울특별시,도봉구,수유제4동,서울특별시 도봉구 수유제4동,11,11320,1132064000
1132065000,서울특별시,도봉구,수유제5동,서울특별시 도봉구 수유제5동,11,11320,1132065000
1132065100,서울특별시,도봉구,수유제6동,서울특별시 도봉구 수유제6동,11,11320,1132065100
1132066000,서울특별시,도봉구,쌍문제1동,서울특별시 도봉구 쌍문제1동,11,11320,1132066000
1132067000,서울특별시,도봉구,쌍문제2동,서울특별시 도봉구 쌍문제2동,11,11320,1132067000
1132068000,서울특별시,도봉구,쌍문제3동,서울특별시 도봉구 쌍문제3동,11,11320,1132068000
1132068100,서울특별시,도봉구,쌍문제4동,서울특별시 도봉구 쌍문제4동,11,11320,1132068100
1132069000,서울특별시,도봉구,방학제1동,서울특별시 도봉구 방학제1동,11,11320,1132069000
1132070000,서울특별시,도봉구,방학제2동,서울특별시 도봉구 방학제2동,11,11320,1132070000
1132071000,서울특별시,도봉구,방학제3동,서울특별시 도봉구 방학제3동,11,11320,1132071000
1132072000,서울특별시,도봉구,방학제4동,서울특별시 도봉구 방학제4동,11,11320,1132072000
1135000000,서울특별시,노원구,NA,서울특별시 노원구,11,11350,1135000000
1135051000,서울특별시,노원구,도봉제1동,서울특별시 노원구 도봉제1동,11,11350,1135051000
1135052000,서울특별시,노원구,도봉제2동,서울특별시 노원구 도봉제2동,11,11350,1135052000
